id,request_id,cost_date,category,amount_cents
"COST-69","REQ-0016","2026-04-11","Placement","131700"
"COST-70","REQ-0016","2026-05-07","Placement","130500"
"COST-71","REQ-0017","2026-02-14","Sourcing","89200"
"COST-72","REQ-0017","2026-02-27","Placement","175600"
"COST-73","REQ-0017","2026-03-05","Placement","212200"
"COST-74","REQ-0017","2026-02-22","Placement","199000"
"COST-75","REQ-0017","2026-03-01","Placement","68600"
"COST-76","REQ-0017","2026-02-19","Placement","358200"
"COST-77","REQ-0018","2026-09-15","Sourcing","74100"
"COST-78","REQ-0019","2026-01-16","Sourcing","23300"
"COST-79","REQ-0019","2026-01-28","Placement","159100"
"COST-80","REQ-0019","2026-01-27","Placement","165600"
"COST-81","REQ-0019","2026-02-02","Placement","195400"
"COST-82","REQ-0020","2026-09-10","Sourcing","16800"
"COST-83","REQ-0021","2026-09-04","Sourcing","45700"
"COST-84","REQ-0022","2026-05-21","Sourcing","91600"
"COST-85","REQ-0022","2026-06-24","Placement","220500"
"COST-86","REQ-0022","2026-06-09","Placement","69300"
"COST-87","REQ-0022","2026-05-28","Placement","195600"
"COST-88","REQ-0023","2026-01-08","Sourcing","30900"
"COST-89","REQ-0023","2026-02-10","Placement","117800"
"COST-90","REQ-0023","2026-01-22","Placement","132000"
"COST-91","REQ-0023","2026-01-31","Placement","65100"
"COST-92","REQ-0023","2026-01-22","Placement","66800"
"COST-93","REQ-0023","2026-01-24","Placement","87100"
"COST-94","REQ-0024","2026-02-05","Sourcing","43500"
"COST-95","REQ-0024","2026-03-13","Placement","283800"
"COST-96","REQ-0025","2026-02-02","Sourcing","89000"
"COST-97","REQ-0025","2026-03-01","Placement","119100"
"COST-98","REQ-0025","2026-03-03","Placement","271000"
"COST-99","REQ-0025","2026-02-25","Placement","302900"
"COST-100","REQ-0025","2026-02-27","Placement","109000"
"COST-101","REQ-0025","2026-03-12","Placement","71700"
"COST-102","REQ-0026","2026-02-18","Sourcing","65400"
"COST-103","REQ-0026","2026-03-17","Placement","85900"
"COST-104","REQ-0026","2026-03-25","Placement","385000"
"COST-105","REQ-0026","2026-03-20","Placement","159800"
"COST-106","REQ-0026","2026-03-03","Placement","284900"
"COST-107","REQ-0027","2026-06-12","Sourcing","17000"
"COST-108","REQ-0027","2026-07-16","Placement","97800"
"COST-109","REQ-0027","2026-06-20","Placement","329400"
"COST-110","REQ-0028","2026-01-10","Sourcing","59500"
"COST-111","REQ-0028","2026-02-14","Placement","83200"
"COST-112","REQ-0029","2026-02-26","Sourcing","73400"
"COST-113","REQ-0029","2026-03-11","Placement","79100"
"COST-114","REQ-0029","2026-03-14","Placement","117000"
"COST-115","REQ-0029","2026-03-12","Placement","80200"
"COST-116","REQ-0030","2026-02-12","Sourcing","49400"
"COST-117","REQ-0030","2026-03-03","Placement","127800"
"COST-118","REQ-0030","2026-03-03","Placement","66500"
"COST-119","REQ-0030","2026-03-10","Placement","92800"
"COST-120","REQ-0030","2026-03-14","Placement","95200"
"COST-121","REQ-0030","2026-03-20","Placement","110200"
"COST-122","REQ-0031","2026-09-04","Sourcing","75300"
"COST-123","REQ-0032","2026-02-23","Sourcing","35200"
"COST-124","REQ-0032","2026-04-12","Placement","97500"
"COST-125","REQ-0032","2026-04-15","Placement","135900"
"COST-126","REQ-0033","2026-08-06","Sourcing","81400"
"COST-127","REQ-0033","2026-08-13","Placement","125700"
"COST-128","REQ-0034","2026-09-08","Sourcing","83600"
"COST-129","REQ-0035","2026-06-28","Sourcing","79900"
"COST-130","REQ-0035","2026-07-14","Placement","322500"
"COST-131","REQ-0035","2026-07-07","Placement","213700"
"COST-132","REQ-0035","2026-07-07","Placement","319400"
"COST-133","REQ-0036","2026-01-10","Sourcing","76000"
"COST-134","REQ-0036","2026-02-04","Placement","199500"
"COST-135","REQ-0036","2026-02-08","Placement","156600"
"COST-136","REQ-0036","2026-01-27","Placement","199100"
"COST-137","REQ-0036","2026-02-02","Placement","387900"
"COST-138","REQ-0036","2026-01-24","Placement","349500"
"COST-139","REQ-0036","2026-02-05","Placement","335600"
"COST-140","REQ-0037","2026-08-29","Sourcing","91800"
"COST-141","REQ-0037","2026-09-13","Placement","237400"
"COST-142","REQ-0038","2026-05-17","Sourcing","67900"
"COST-143","REQ-0038","2026-06-18","Placement","369300"
"COST-144","REQ-0038","2026-06-03","Placement","274700"
"COST-145","REQ-0039","2026-08-16","Sourcing","74700"
"COST-146","REQ-0039","2026-09-05","Placement","92900"
"COST-147","REQ-0039","2026-09-03","Placement","137100"
"COST-148","REQ-0040","2026-07-02","Sourcing","76900"
"COST-149","REQ-0040","2026-07-16","Placement","122100"
"COST-150","REQ-0041","2026-04-12","Sourcing","80800"
"COST-151","REQ-0041","2026-06-04","Placement","73800"
"COST-152","REQ-0041","2026-05-20","Placement","133000"
"COST-153","REQ-0041","2026-05-03","Placement","80500"
"COST-154","REQ-0042","2026-04-10","Sourcing","88000"
"COST-155","REQ-0042","2026-05-05","Placement","78900"
"COST-156","REQ-0042","2026-05-10","Placement","138600"
"COST-157","REQ-0043","2026-09-02","Sourcing","50200"
"COST-158","REQ-0044","2026-07-11","Sourcing","91900"
"COST-159","REQ-0044","2026-08-12","Placement","95400"
"COST-160","REQ-0044","2026-08-04","Placement","338300"
"COST-161","REQ-0045","2026-08-06","Sourcing","82700"
"COST-162","REQ-0045","2026-08-28","Placement","308300"
"COST-163","REQ-0045","2026-09-01","Placement","88500"
"COST-164","REQ-0045","2026-08-20","Placement","167600"
"COST-165","REQ-0046","2026-05-06","Sourcing","94300"
"COST-166","REQ-0046","2026-06-05","Placement","236200"
"COST-167","REQ-0046","2026-05-24","Placement","106900"
"COST-168","REQ-0046","2026-05-13","Placement","102900"
"COST-169","REQ-0047","2026-02-27","Sourcing","65000"
"COST-170","REQ-0047","2026-04-02","Placement","132700"
"COST-171","REQ-0047","2026-03-17","Placement","86500"
"COST-172","REQ-0047","2026-03-27","Placement","87700"
"COST-173","REQ-0047","2026-03-31","Placement","389500"
"COST-174","REQ-0047","2026-04-06","Placement","89700"
"COST-175","REQ-0048","2026-06-17","Sourcing","23200"
"COST-176","REQ-0048","2026-07-25","Placement","106100"
"COST-177","REQ-0048","2026-07-09","Placement","309900"
"COST-178","REQ-0048","2026-07-07","Placement","173400"
"COST-179","REQ-0048","2026-07-03","Placement","267700"
"COST-180","REQ-0049","2026-05-31","Sourcing","17100"
"COST-181","REQ-0049","2026-06-06","Placement","184500"
"COST-182","REQ-0050","2026-01-11","Sourcing","27000"
"COST-183","REQ-0050","2026-01-23","Placement","130500"
"COST-184","REQ-0050","2026-01-27","Placement","115100"
"COST-185","REQ-0050","2026-02-12","Placement","125900"
"COST-186","REQ-0050","2026-02-18","Placement","69100"
"COST-187","REQ-0051","2026-02-04","Sourcing","38500"
"COST-188","REQ-0051","2026-03-06","Placement","311700"
"COST-189","REQ-0051","2026-02-09","Placement","136200"
"COST-190","REQ-0051","2026-03-12","Placement","249100"
"COST-191","REQ-0051","2026-03-08","Placement","98800"
"COST-192","REQ-0051","2026-02-21","Placement","311800"
"COST-193","REQ-0052","2026-01-27","Sourcing","81900"
"COST-194","REQ-0052","2026-02-11","Placement","95600"
"COST-195","REQ-0052","2026-03-03","Placement","124200"
"COST-196","REQ-0053","2026-04-11","Sourcing","54000"
"COST-197","REQ-0053","2026-05-11","Placement","131000"
"COST-198","REQ-0054","2026-08-18","Sourcing","20100"
"COST-199","REQ-0054","2026-08-23","Placement","375200"
"COST-200","REQ-0055","2026-03-01","Sourcing","81500"
"COST-201","REQ-0055","2026-03-12","Placement","301000"
"COST-202","REQ-0055","2026-03-07","Placement","237500"
"COST-203","REQ-0055","2026-03-13","Placement","87600"
"COST-204","REQ-0055","2026-03-29","Placement","77600"
"COST-205","REQ-0055","2026-03-16","Placement","160100"
"COST-206","REQ-0055","2026-03-20","Placement","292700"
"COST-207","REQ-0056","2026-08-21","Sourcing","15200"
"COST-208","REQ-0056","2026-08-27","Placement","169100"
"COST-209","REQ-0056","2026-09-15","Placement","217800"
"COST-210","REQ-0057","2026-01-28","Sourcing","27600"
"COST-211","REQ-0057","2026-02-12","Placement","388000"
"COST-212","REQ-0057","2026-02-18","Placement","292400"
"COST-213","REQ-0057","2026-03-01","Placement","209000"
"COST-214","REQ-0058","2026-07-12","Sourcing","70700"
"COST-215","REQ-0058","2026-07-31","Placement","258800"
"COST-216","REQ-0059","2026-08-18","Sourcing","25800"
"COST-217","REQ-0060","2026-08-30","Sourcing","71300"
"COST-218","REQ-0061","2026-01-02","Sourcing","52900"
"COST-219","REQ-0061","2026-02-15","Placement","347100"
"COST-220","REQ-0061","2026-02-22","Placement","86600"
"COST-221","REQ-0061","2026-02-06","Placement","381200"
"COST-222","REQ-0061","2026-02-22","Placement","69600"
"COST-223","REQ-0061","2026-02-16","Placement","72900"
"COST-224","REQ-0061","2026-02-11","Placement","187600"
"COST-225","REQ-0062","2026-09-06","Sourcing","77000"
"COST-226","REQ-0062","2026-09-14","Placement","90100"
"COST-227","REQ-0062","2026-09-13","Placement","195600"
"COST-228","REQ-0063","2026-08-03","Sourcing","20200"
"COST-229","REQ-0063","2026-08-08","Placement","283400"
"COST-230","REQ-0063","2026-08-10","Placement","211300"
"COST-231","REQ-0063","2026-08-12","Placement","220800"
"COST-232","REQ-0064","2026-08-09","Sourcing","69500"
"COST-233","REQ-0064","2026-08-27","Placement","108100"
"COST-234","REQ-0065","2026-04-17","Sourcing","36200"
"COST-235","REQ-0065","2026-05-23","Placement","88000"
"COST-236","REQ-0065","2026-05-17","Placement","135200"
"COST-237","REQ-0065","2026-05-08","Placement","137100"
"COST-238","REQ-0065","2026-05-21","Placement","86500"
"COST-239","REQ-0065","2026-05-10","Placement","76600"
"COST-240","REQ-0066","2026-01-17","Sourcing","29700"
"COST-241","REQ-0066","2026-02-11","Placement","358300"
"COST-242","REQ-0066","2026-02-06","Placement","368100"
"COST-243","REQ-0067","2026-06-27","Sourcing","84900"
"COST-244","REQ-0067","2026-07-27","Placement","195100"
"COST-245","REQ-0067","2026-07-26","Placement","382100"
"COST-246","REQ-0067","2026-07-12","Placement","376200"
"COST-247","REQ-0067","2026-07-21","Placement","251900"
"COST-248","REQ-0067","2026-08-03","Placement","120200"
"COST-249","REQ-0068","2026-04-24","Sourcing","43700"
"COST-250","REQ-0068","2026-06-13","Placement","127400"
"COST-251","REQ-0069","2026-08-18","Sourcing","42100"
"COST-252","REQ-0069","2026-08-30","Placement","123900"
"COST-253","REQ-0070","2026-01-05","Sourcing","58900"
"COST-254","REQ-0070","2026-02-04","Placement","157700"
"COST-255","REQ-0070","2026-01-30","Placement","194500"
"COST-256","REQ-0070","2026-02-10","Placement","250900"
"COST-257","REQ-0070","2026-01-24","Placement","303600"
"COST-258","REQ-0071","2026-03-17","Sourcing","81900"
"COST-259","REQ-0071","2026-04-14","Placement","69900"
"COST-260","REQ-0071","2026-04-10","Placement","126600"
"COST-261","REQ-0071","2026-04-07","Placement","90700"
"COST-262","REQ-0072","2026-03-20","Sourcing","38500"
"COST-263","REQ-0072","2026-04-04","Placement","113200"
"COST-264","REQ-0072","2026-03-28","Placement","76000"
"COST-265","REQ-0073","2026-02-13","Sourcing","21600"
"COST-266","REQ-0073","2026-03-22","Placement","335500"
"COST-267","REQ-0073","2026-02-24","Placement","191700"
"COST-268","REQ-0073","2026-03-14","Placement","185700"
"COST-269","REQ-0073","2026-02-28","Placement","246200"
"COST-270","REQ-0074","2026-02-28","Sourcing","34100"
"COST-271","REQ-0074","2026-03-07","Placement","130600"
"COST-272","REQ-0075","2026-03-27","Sourcing","17200"
"COST-273","REQ-0075","2026-05-02","Placement","126900"
"COST-274","REQ-0075","2026-04-06","Placement","73800"
"COST-275","REQ-0076","2026-04-05","Sourcing","18500"
"COST-276","REQ-0076","2026-04-13","Placement","68000"
"COST-277","REQ-0076","2026-05-15","Placement","70900"
"COST-278","REQ-0076","2026-04-18","Placement","89200"
"COST-279","REQ-0076","2026-04-13","Placement","116600"
"COST-280","REQ-0077","2026-01-28","Sourcing","72300"
"COST-281","REQ-0077","2026-02-06","Placement","97000"
"COST-282","REQ-0077","2026-02-13","Placement","204800"
"COST-283","REQ-0078","2026-03-23","Sourcing","58400"
"COST-284","REQ-0078","2026-04-08","Placement","266400"
"COST-285","REQ-0078","2026-05-04","Placement","376700"
"COST-286","REQ-0078","2026-04-16","Placement","131900"
"COST-287","REQ-0079","2026-03-03","Sourcing","66000"
"COST-288","REQ-0079","2026-03-11","Placement","148700"
"COST-289","REQ-0080","2026-01-23","Sourcing","87500"
"COST-290","REQ-0080","2026-02-17","Placement","274200"
"COST-291","REQ-0081","2026-07-25","Sourcing","73100"
"COST-292","REQ-0081","2026-08-02","Placement","76300"
"COST-293","REQ-0081","2026-08-12","Placement","106900"
"COST-294","REQ-0081","2026-08-02","Placement","83100"
"COST-295","REQ-0082","2026-05-18","Sourcing","24500"
"COST-296","REQ-0082","2026-06-17","Placement","200900"
"COST-297","REQ-0082","2026-06-04","Placement","85600"
"COST-298","REQ-0082","2026-06-23","Placement","213000"
"COST-299","REQ-0082","2026-05-26","Placement","177700"
"COST-300","REQ-0082","2026-06-18","Placement","333700"
"COST-301","REQ-0083","2026-04-11","Sourcing","81200"
"COST-302","REQ-0083","2026-05-29","Placement","121500"
"COST-303","REQ-0083","2026-04-24","Placement","105800"
"COST-304","REQ-0084","2026-03-16","Sourcing","43100"
"COST-305","REQ-0084","2026-04-04","Placement","374100"
"COST-306","REQ-0085","2026-08-23","Sourcing","47800"
"COST-307","REQ-0085","2026-08-28","Placement","296200"
"COST-308","REQ-0086","2026-09-14","Sourcing","41700"
"COST-309","REQ-0087","2026-06-12","Sourcing","73800"
"COST-310","REQ-0087","2026-07-03","Placement","308100"
"COST-311","REQ-0088","2026-04-10","Sourcing","72600"
"COST-312","REQ-0088","2026-04-22","Placement","93900"
"COST-313","REQ-0088","2026-05-02","Placement","129800"
"COST-314","REQ-0088","2026-04-24","Placement","79400"
"COST-315","REQ-0088","2026-05-04","Placement","114500"
"COST-316","REQ-0088","2026-04-29","Placement","127300"
"COST-317","REQ-0089","2026-07-29","Sourcing","58500"
"COST-318","REQ-0089","2026-08-25","Placement","72700"
"COST-319","REQ-0089","2026-08-25","Placement","127500"
"COST-320","REQ-0089","2026-09-01","Placement","81100"
"COST-321","REQ-0090","2026-05-25","Sourcing","56400"
"COST-322","REQ-0090","2026-06-19","Placement","259400"
"COST-323","REQ-0090","2026-07-06","Placement","342600"
"COST-324","REQ-0090","2026-06-24","Placement","181900"
"COST-325","REQ-0091","2026-05-23","Sourcing","34000"
"COST-326","REQ-0091","2026-05-30","Placement","137500"
"COST-327","REQ-0091","2026-06-22","Placement","333700"
"COST-328","REQ-0091","2026-05-29","Placement","362500"
"COST-329","REQ-0091","2026-06-25","Placement","145700"
"COST-330","REQ-0092","2026-08-17","Sourcing","70000"
"COST-331","REQ-0092","2026-09-07","Placement","296600"
"COST-332","REQ-0093","2026-01-21","Sourcing","42200"
"COST-333","REQ-0093","2026-01-30","Placement","70900"
"COST-334","REQ-0094","2026-05-05","Sourcing","56600"
"COST-335","REQ-0094","2026-05-30","Placement","279800"
"COST-336","REQ-0094","2026-05-26","Placement","183200"
"COST-337","REQ-0095","2026-06-28","Sourcing","21900"
"COST-338","REQ-0095","2026-08-14","Placement","153600"
"COST-339","REQ-0095","2026-07-18","Placement","333800"
"COST-340","REQ-0095","2026-08-07","Placement","75300"
"COST-341","REQ-0096","2026-03-31","Sourcing","93800"
"COST-342","REQ-0096","2026-04-15","Placement","361100"
"COST-343","REQ-0096","2026-04-08","Placement","293500"
"COST-344","REQ-0096","2026-04-14","Placement","207400"
"COST-345","REQ-0097","2026-03-25","Sourcing","53000"
"COST-346","REQ-0097","2026-04-04","Placement","69200"
"COST-347","REQ-0097","2026-04-08","Placement","172300"
"COST-348","REQ-0097","2026-04-12","Placement","254200"
"COST-349","REQ-0098","2026-05-16","Sourcing","17300"
"COST-350","REQ-0098","2026-06-21","Placement","96500"
"COST-351","REQ-0098","2026-06-07","Placement","88400"
"COST-352","REQ-0098","2026-06-21","Placement","91600"
"COST-353","REQ-0099","2026-02-24","Sourcing","56500"
"COST-354","REQ-0099","2026-03-14","Placement","119700"
"COST-355","REQ-0100","2026-08-05","Sourcing","47300"
"COST-356","REQ-0100","2026-08-16","Placement","123300"
"COST-357","REQ-0101","2026-06-27","Sourcing","25000"
"COST-358","REQ-0101","2026-08-16","Placement","121600"
"COST-359","REQ-0101","2026-07-30","Placement","66700"
"COST-360","REQ-0101","2026-07-17","Placement","116700"
"COST-361","REQ-0101","2026-07-19","Placement","118300"
"COST-362","REQ-0101","2026-07-22","Placement","110300"
"COST-363","REQ-0102","2026-01-07","Sourcing","51000"
"COST-364","REQ-0102","2026-01-29","Placement","207600"
"COST-365","REQ-0102","2026-01-12","Placement","337900"
"COST-366","REQ-0102","2026-01-24","Placement","224600"
"COST-367","REQ-0102","2026-02-06","Placement","99100"
"COST-368","REQ-0103","2026-06-24","Sourcing","75100"
"COST-369","REQ-0103","2026-08-12","Placement","386100"
"COST-370","REQ-0103","2026-07-26","Placement","202800"
"COST-371","REQ-0104","2026-09-14","Sourcing","24200"
"COST-372","REQ-0105","2026-06-05","Sourcing","63400"
"COST-373","REQ-0105","2026-06-10","Placement","73000"
"COST-374","REQ-0105","2026-07-12","Placement","297300"
"COST-375","REQ-0105","2026-06-15","Placement","260300"
"COST-376","REQ-0105","2026-07-02","Placement","150800"
"COST-377","REQ-0105","2026-06-10","Placement","84300"
"COST-378","REQ-0105","2026-07-12","Placement","358900"
"COST-379","REQ-0106","2026-07-13","Sourcing","38500"
"COST-380","REQ-0107","2026-06-17","Sourcing","94600"
"COST-381","REQ-0107","2026-06-30","Placement","159500"
"COST-382","REQ-0107","2026-07-15","Placement","328500"
"COST-383","REQ-0108","2026-08-18","Sourcing","76000"
"COST-384","REQ-0108","2026-09-09","Placement","346300"
"COST-385","REQ-0108","2026-09-07","Placement","124100"
"COST-386","REQ-0108","2026-09-03","Placement","310200"
"COST-387","REQ-0109","2026-03-09","Sourcing","45600"
"COST-388","REQ-0109","2026-04-28","Placement","303500"
"COST-389","REQ-0110","2026-01-07","Sourcing","94200"
"COST-390","REQ-0110","2026-01-17","Placement","77700"
"COST-391","REQ-0110","2026-01-14","Placement","109600"
"COST-392","REQ-0110","2026-02-01","Placement","75400"
"COST-393","REQ-0110","2026-02-03","Placement","106000"
"COST-394","REQ-0110","2026-01-23","Placement","100200"
"COST-395","REQ-0110","2026-01-16","Placement","137300"
"COST-396","REQ-0111","2026-03-05","Sourcing","58600"
"COST-397","REQ-0111","2026-03-10","Placement","376300"
"COST-398","REQ-0111","2026-03-24","Placement","190500"
"COST-399","REQ-0111","2026-03-10","Placement","291800"
"COST-400","REQ-0112","2026-05-31","Sourcing","41500"
"COST-401","REQ-0112","2026-07-20","Placement","264400"
"COST-402","REQ-0113","2026-09-01","Sourcing","70000"
"COST-403","REQ-0113","2026-09-11","Placement","121800"
"COST-404","REQ-0113","2026-09-06","Placement","189700"
"COST-405","REQ-0114","2026-08-27","Sourcing","53600"
"COST-406","REQ-0114","2026-09-07","Placement","165700"
"COST-407","REQ-0114","2026-09-07","Placement","162100"
"COST-408","REQ-0114","2026-09-07","Placement","156400"
"COST-409","REQ-0115","2026-07-17","Sourcing","79600"
"COST-410","REQ-0115","2026-07-31","Placement","168500"
"COST-411","REQ-0115","2026-08-02","Placement","89800"
"COST-412","REQ-0115","2026-08-23","Placement","236100"
"COST-413","REQ-0116","2026-07-11","Sourcing","90900"
"COST-414","REQ-0116","2026-08-06","Placement","136500"
"COST-415","REQ-0116","2026-08-11","Placement","115500"
"COST-416","REQ-0116","2026-07-29","Placement","82900"
"COST-417","REQ-0116","2026-07-31","Placement","117000"
"COST-418","REQ-0117","2026-01-10","Sourcing","15200"
"COST-419","REQ-0117","2026-02-16","Placement","239900"
"COST-420","REQ-0117","2026-02-11","Placement","381900"
"COST-421","REQ-0117","2026-02-15","Placement","301600"
"COST-422","REQ-0117","2026-01-15","Placement","219700"
"COST-423","REQ-0117","2026-02-01","Placement","277000"
"COST-424","REQ-0117","2026-01-15","Placement","317800"
"COST-425","REQ-0118","2026-03-03","Sourcing","25800"
"COST-426","REQ-0118","2026-03-16","Placement","223000"
"COST-427","REQ-0118","2026-04-08","Placement","84100"
"COST-428","REQ-0118","2026-03-15","Placement","69600"
"COST-429","REQ-0118","2026-03-31","Placement","339400"
"COST-430","REQ-0119","2026-03-17","Sourcing","39600"
"COST-431","REQ-0119","2026-04-30","Placement","274400"
"COST-432","REQ-0119","2026-04-18","Placement","190600"
"COST-433","REQ-0120","2026-03-15","Sourcing","60900"
"COST-434","REQ-0120","2026-04-22","Placement","126300"
"COST-435","REQ-0120","2026-04-10","Placement","118100"
"COST-436","REQ-0121","2026-02-14","Sourcing","56600"
"COST-437","REQ-0121","2026-03-01","Placement","86300"
"COST-438","REQ-0122","2026-08-19","Sourcing","17100"
"COST-439","REQ-0122","2026-09-04","Placement","318700"
"COST-440","REQ-0122","2026-09-06","Placement","296700"
"COST-441","REQ-0122","2026-09-03","Placement","386200"
"COST-442","REQ-0123","2026-08-27","Sourcing","34000"
"COST-443","REQ-0123","2026-09-02","Placement","353300"
"COST-444","REQ-0123","2026-09-13","Placement","95300"
"COST-445","REQ-0124","2026-06-19","Sourcing","76300"
"COST-446","REQ-0124","2026-07-11","Placement","120400"
"COST-447","REQ-0124","2026-06-26","Placement","109500"
"COST-448","REQ-0124","2026-07-01","Placement","115600"
"COST-449","REQ-0124","2026-07-05","Placement","126500"
"COST-450","REQ-0125","2026-06-02","Sourcing","85000"
"COST-451","REQ-0125","2026-06-27","Placement","262400"
"COST-452","REQ-0125","2026-07-04","Placement","318200"
"COST-453","REQ-0126","2026-07-09","Sourcing","60500"
"COST-454","REQ-0126","2026-08-17","Placement","71400"
"COST-455","REQ-0126","2026-08-08","Placement","322400"
"COST-456","REQ-0126","2026-08-06","Placement","387500"
"COST-457","REQ-0126","2026-08-22","Placement","333000"
"COST-458","REQ-0126","2026-08-25","Placement","148200"
"COST-459","REQ-0127","2026-03-18","Sourcing","50600"
"COST-460","REQ-0127","2026-04-11","Placement","387000"
"COST-461","REQ-0127","2026-04-08","Placement","380400"
"COST-462","REQ-0127","2026-03-30","Placement","382400"
"COST-463","REQ-0127","2026-04-03","Placement","257000"
"COST-464","REQ-0127","2026-03-29","Placement","189500"
"COST-465","REQ-0128","2026-06-24","Sourcing","32200"
"COST-466","REQ-0128","2026-07-08","Placement","263500"
"COST-467","REQ-0128","2026-07-26","Placement","189000"
"COST-468","REQ-0128","2026-07-16","Placement","91100"
"COST-469","REQ-0128","2026-07-12","Placement","366400"
"COST-470","REQ-0129","2026-06-07","Sourcing","29900"
"COST-471","REQ-0129","2026-06-19","Placement","239400"
"COST-472","REQ-0129","2026-07-02","Placement","174000"
"COST-473","REQ-0130","2026-08-16","Sourcing","58200"
"COST-474","REQ-0131","2026-07-17","Sourcing","71400"
"COST-475","REQ-0131","2026-09-03","Placement","381700"
"COST-476","REQ-0131","2026-07-31","Placement","267100"
"COST-477","REQ-0131","2026-07-23","Placement","225300"
"COST-478","REQ-0132","2026-08-12","Sourcing","72000"
"COST-479","REQ-0132","2026-09-10","Placement","292600"
"COST-480","REQ-0132","2026-09-09","Placement","201300"
"COST-481","REQ-0132","2026-09-11","Placement","310900"
"COST-482","REQ-0133","2026-05-09","Sourcing","47700"
"COST-483","REQ-0133","2026-05-19","Placement","274700"
"COST-484","REQ-0133","2026-07-03","Placement","297700"
"COST-485","REQ-0134","2026-03-24","Sourcing","52000"
"COST-486","REQ-0134","2026-05-01","Placement","83800"
"COST-487","REQ-0134","2026-04-28","Placement","75900"
"COST-488","REQ-0135","2026-05-08","Sourcing","60500"
