id,request_id,candidate_id,hire_date,end_date
"HIRE-166","REQ-0063","SYN-00166","2026-08-08",""
"HIRE-167","REQ-0063","SYN-00167","2026-08-10",""
"HIRE-168","REQ-0063","SYN-00168","2026-08-12",""
"HIRE-169","REQ-0064","SYN-00169","2026-08-27",""
"HIRE-170","REQ-0065","SYN-00170","2026-05-23",""
"HIRE-171","REQ-0065","SYN-00171","2026-05-17",""
"HIRE-172","REQ-0065","SYN-00172","2026-05-08","2026-06-06"
"HIRE-173","REQ-0065","SYN-00173","2026-05-21",""
"HIRE-174","REQ-0065","SYN-00174","2026-05-10",""
"HIRE-175","REQ-0066","SYN-00175","2026-02-11",""
"HIRE-176","REQ-0066","SYN-00176","2026-02-06",""
"HIRE-177","REQ-0067","SYN-00177","2026-07-27",""
"HIRE-178","REQ-0067","SYN-00178","2026-07-26",""
"HIRE-179","REQ-0067","SYN-00179","2026-07-12",""
"HIRE-180","REQ-0067","SYN-00180","2026-07-21",""
"HIRE-181","REQ-0067","SYN-00181","2026-08-03",""
"HIRE-182","REQ-0068","SYN-00182","2026-06-13",""
"HIRE-183","REQ-0069","SYN-00183","2026-08-30",""
"HIRE-184","REQ-0070","SYN-00184","2026-02-04",""
"HIRE-185","REQ-0070","SYN-00185","2026-01-30",""
"HIRE-186","REQ-0070","SYN-00186","2026-02-10",""
"HIRE-187","REQ-0070","SYN-00187","2026-01-24",""
"HIRE-188","REQ-0071","SYN-00188","2026-04-14",""
"HIRE-189","REQ-0071","SYN-00189","2026-04-10",""
"HIRE-190","REQ-0071","SYN-00190","2026-04-07",""
"HIRE-191","REQ-0072","SYN-00191","2026-04-04",""
"HIRE-192","REQ-0072","SYN-00192","2026-03-28",""
"HIRE-193","REQ-0073","SYN-00193","2026-03-22",""
"HIRE-194","REQ-0073","SYN-00194","2026-02-24","2026-05-29"
"HIRE-195","REQ-0073","SYN-00195","2026-03-14","2026-07-08"
"HIRE-196","REQ-0073","SYN-00196","2026-02-28",""
"HIRE-197","REQ-0074","SYN-00197","2026-03-07",""
"HIRE-198","REQ-0075","SYN-00198","2026-05-02",""
"HIRE-199","REQ-0075","SYN-00199","2026-04-06",""
"HIRE-200","REQ-0076","SYN-00200","2026-04-13",""
"HIRE-201","REQ-0076","SYN-00201","2026-05-15",""
"HIRE-202","REQ-0076","SYN-00202","2026-04-18",""
"HIRE-203","REQ-0076","SYN-00203","2026-04-13",""
"HIRE-204","REQ-0077","SYN-00204","2026-02-06",""
"HIRE-205","REQ-0077","SYN-00205","2026-02-13",""
"HIRE-206","REQ-0078","SYN-00206","2026-04-08",""
"HIRE-207","REQ-0078","SYN-00207","2026-05-04","2026-08-01"
"HIRE-208","REQ-0078","SYN-00208","2026-04-16",""
"HIRE-209","REQ-0079","SYN-00209","2026-03-11",""
"HIRE-210","REQ-0080","SYN-00210","2026-02-17",""
"HIRE-211","REQ-0081","SYN-00211","2026-08-02",""
"HIRE-212","REQ-0081","SYN-00212","2026-08-12",""
"HIRE-213","REQ-0081","SYN-00213","2026-08-02",""
"HIRE-214","REQ-0082","SYN-00214","2026-06-17",""
"HIRE-215","REQ-0082","SYN-00215","2026-06-04",""
"HIRE-216","REQ-0082","SYN-00216","2026-06-23",""
"HIRE-217","REQ-0082","SYN-00217","2026-05-26",""
"HIRE-218","REQ-0082","SYN-00218","2026-06-18",""
"HIRE-219","REQ-0083","SYN-00219","2026-05-29",""
"HIRE-220","REQ-0083","SYN-00220","2026-04-24",""
"HIRE-221","REQ-0084","SYN-00221","2026-04-04",""
"HIRE-222","REQ-0085","SYN-00222","2026-08-28",""
"HIRE-223","REQ-0087","SYN-00223","2026-07-03",""
"HIRE-224","REQ-0088","SYN-00224","2026-04-22",""
"HIRE-225","REQ-0088","SYN-00225","2026-05-02",""
"HIRE-226","REQ-0088","SYN-00226","2026-04-24",""
"HIRE-227","REQ-0088","SYN-00227","2026-05-04",""
"HIRE-228","REQ-0088","SYN-00228","2026-04-29",""
"HIRE-229","REQ-0089","SYN-00229","2026-08-25",""
"HIRE-230","REQ-0089","SYN-00230","2026-08-25",""
"HIRE-231","REQ-0089","SYN-00231","2026-09-01",""
"HIRE-232","REQ-0090","SYN-00232","2026-06-19",""
"HIRE-233","REQ-0090","SYN-00233","2026-07-06",""
"HIRE-234","REQ-0090","SYN-00234","2026-06-24",""
"HIRE-235","REQ-0091","SYN-00235","2026-05-30",""
"HIRE-236","REQ-0091","SYN-00236","2026-06-22",""
"HIRE-237","REQ-0091","SYN-00237","2026-05-29",""
"HIRE-238","REQ-0091","SYN-00238","2026-06-25",""
"HIRE-239","REQ-0092","SYN-00239","2026-09-07",""
"HIRE-240","REQ-0093","SYN-00240","2026-01-30",""
"HIRE-241","REQ-0094","SYN-00241","2026-05-30","2026-07-04"
"HIRE-242","REQ-0094","SYN-00242","2026-05-26",""
"HIRE-243","REQ-0095","SYN-00243","2026-08-14",""
"HIRE-244","REQ-0095","SYN-00244","2026-07-18",""
"HIRE-245","REQ-0095","SYN-00245","2026-08-07",""
"HIRE-246","REQ-0096","SYN-00246","2026-04-15",""
"HIRE-247","REQ-0096","SYN-00247","2026-04-08",""
"HIRE-248","REQ-0096","SYN-00248","2026-04-14",""
"HIRE-249","REQ-0097","SYN-00249","2026-04-04",""
"HIRE-250","REQ-0097","SYN-00250","2026-04-08",""
"HIRE-251","REQ-0097","SYN-00251","2026-04-12",""
"HIRE-252","REQ-0098","SYN-00252","2026-06-21",""
"HIRE-253","REQ-0098","SYN-00253","2026-06-07","2026-06-29"
"HIRE-254","REQ-0098","SYN-00254","2026-06-21","2026-09-15"
"HIRE-255","REQ-0099","SYN-00255","2026-03-14","2026-08-10"
"HIRE-256","REQ-0100","SYN-00256","2026-08-16",""
"HIRE-257","REQ-0101","SYN-00257","2026-08-16",""
"HIRE-258","REQ-0101","SYN-00258","2026-07-30",""
"HIRE-259","REQ-0101","SYN-00259","2026-07-17",""
"HIRE-260","REQ-0101","SYN-00260","2026-07-19",""
"HIRE-261","REQ-0101","SYN-00261","2026-07-22",""
"HIRE-262","REQ-0102","SYN-00262","2026-01-29",""
"HIRE-263","REQ-0102","SYN-00263","2026-01-12",""
"HIRE-264","REQ-0102","SYN-00264","2026-01-24",""
"HIRE-265","REQ-0102","SYN-00265","2026-02-06",""
"HIRE-266","REQ-0103","SYN-00266","2026-08-12",""
"HIRE-267","REQ-0103","SYN-00267","2026-07-26",""
"HIRE-268","REQ-0105","SYN-00268","2026-06-10",""
"HIRE-269","REQ-0105","SYN-00269","2026-07-12",""
"HIRE-270","REQ-0105","SYN-00270","2026-06-15",""
"HIRE-271","REQ-0105","SYN-00271","2026-07-02",""
"HIRE-272","REQ-0105","SYN-00272","2026-06-10",""
"HIRE-273","REQ-0105","SYN-00273","2026-07-12","2026-09-02"
"HIRE-274","REQ-0107","SYN-00274","2026-06-30",""
"HIRE-275","REQ-0107","SYN-00275","2026-07-15",""
"HIRE-276","REQ-0108","SYN-00276","2026-09-09",""
"HIRE-277","REQ-0108","SYN-00277","2026-09-07",""
"HIRE-278","REQ-0108","SYN-00278","2026-09-03",""
"HIRE-279","REQ-0109","SYN-00279","2026-04-28","2026-05-21"
"HIRE-280","REQ-0110","SYN-00280","2026-01-17",""
"HIRE-281","REQ-0110","SYN-00281","2026-01-14",""
"HIRE-282","REQ-0110","SYN-00282","2026-02-01","2026-06-23"
"HIRE-283","REQ-0110","SYN-00283","2026-02-03",""
"HIRE-284","REQ-0110","SYN-00284","2026-01-23",""
"HIRE-285","REQ-0110","SYN-00285","2026-01-16",""
"HIRE-286","REQ-0111","SYN-00286","2026-03-10",""
"HIRE-287","REQ-0111","SYN-00287","2026-03-24",""
"HIRE-288","REQ-0111","SYN-00288","2026-03-10",""
"HIRE-289","REQ-0112","SYN-00289","2026-07-20",""
"HIRE-290","REQ-0113","SYN-00290","2026-09-11",""
"HIRE-291","REQ-0113","SYN-00291","2026-09-06",""
"HIRE-292","REQ-0114","SYN-00292","2026-09-07",""
"HIRE-293","REQ-0114","SYN-00293","2026-09-07",""
"HIRE-294","REQ-0114","SYN-00294","2026-09-07",""
"HIRE-295","REQ-0115","SYN-00295","2026-07-31",""
"HIRE-296","REQ-0115","SYN-00296","2026-08-02",""
"HIRE-297","REQ-0115","SYN-00297","2026-08-23",""
"HIRE-298","REQ-0116","SYN-00298","2026-08-06",""
"HIRE-299","REQ-0116","SYN-00299","2026-08-11",""
"HIRE-300","REQ-0116","SYN-00300","2026-07-29",""
"HIRE-301","REQ-0116","SYN-00301","2026-07-31",""
"HIRE-302","REQ-0117","SYN-00302","2026-02-16",""
"HIRE-303","REQ-0117","SYN-00303","2026-02-11",""
"HIRE-304","REQ-0117","SYN-00304","2026-02-15",""
"HIRE-305","REQ-0117","SYN-00305","2026-01-15","2026-06-15"
"HIRE-306","REQ-0117","SYN-00306","2026-02-01",""
"HIRE-307","REQ-0117","SYN-00307","2026-01-15",""
"HIRE-308","REQ-0118","SYN-00308","2026-03-16","2026-05-24"
"HIRE-309","REQ-0118","SYN-00309","2026-04-08",""
"HIRE-310","REQ-0118","SYN-00310","2026-03-15",""
"HIRE-311","REQ-0118","SYN-00311","2026-03-31",""
"HIRE-312","REQ-0119","SYN-00312","2026-04-30","2026-06-15"
"HIRE-313","REQ-0119","SYN-00313","2026-04-18",""
"HIRE-314","REQ-0120","SYN-00314","2026-04-22","2026-07-17"
"HIRE-315","REQ-0120","SYN-00315","2026-04-10",""
"HIRE-316","REQ-0121","SYN-00316","2026-03-01",""
"HIRE-317","REQ-0122","SYN-00317","2026-09-04",""
"HIRE-318","REQ-0122","SYN-00318","2026-09-06",""
"HIRE-319","REQ-0122","SYN-00319","2026-09-03",""
"HIRE-320","REQ-0123","SYN-00320","2026-09-02",""
"HIRE-321","REQ-0123","SYN-00321","2026-09-13",""
"HIRE-322","REQ-0124","SYN-00322","2026-07-11",""
"HIRE-323","REQ-0124","SYN-00323","2026-06-26",""
"HIRE-324","REQ-0124","SYN-00324","2026-07-01",""
"HIRE-325","REQ-0124","SYN-00325","2026-07-05",""
"HIRE-326","REQ-0125","SYN-00326","2026-06-27",""
"HIRE-327","REQ-0125","SYN-00327","2026-07-04",""
"HIRE-328","REQ-0126","SYN-00328","2026-08-17",""
"HIRE-329","REQ-0126","SYN-00329","2026-08-08",""
"HIRE-330","REQ-0126","SYN-00330","2026-08-06",""
"HIRE-331","REQ-0126","SYN-00331","2026-08-22",""
"HIRE-332","REQ-0126","SYN-00332","2026-08-25",""
"HIRE-333","REQ-0127","SYN-00333","2026-04-11","2026-06-11"
"HIRE-334","REQ-0127","SYN-00334","2026-04-08",""
"HIRE-335","REQ-0127","SYN-00335","2026-03-30","2026-06-13"
"HIRE-336","REQ-0127","SYN-00336","2026-04-03",""
"HIRE-337","REQ-0127","SYN-00337","2026-03-29",""
"HIRE-338","REQ-0128","SYN-00338","2026-07-08",""
"HIRE-339","REQ-0128","SYN-00339","2026-07-26","2026-09-07"
"HIRE-340","REQ-0128","SYN-00340","2026-07-16",""
"HIRE-341","REQ-0128","SYN-00341","2026-07-12",""
"HIRE-342","REQ-0129","SYN-00342","2026-06-19",""
"HIRE-343","REQ-0129","SYN-00343","2026-07-02",""
"HIRE-344","REQ-0131","SYN-00344","2026-09-03",""
"HIRE-345","REQ-0131","SYN-00345","2026-07-31",""
"HIRE-346","REQ-0131","SYN-00346","2026-07-23",""
"HIRE-347","REQ-0132","SYN-00347","2026-09-10",""
"HIRE-348","REQ-0132","SYN-00348","2026-09-09",""
"HIRE-349","REQ-0132","SYN-00349","2026-09-11",""
"HIRE-350","REQ-0133","SYN-00350","2026-05-19",""
"HIRE-351","REQ-0133","SYN-00351","2026-07-03",""
"HIRE-352","REQ-0134","SYN-00352","2026-05-01",""
"HIRE-353","REQ-0134","SYN-00353","2026-04-28",""
"HIRE-354","REQ-0136","SYN-00354","2026-09-06",""
"HIRE-355","REQ-0136","SYN-00355","2026-09-11",""
"HIRE-356","REQ-0138","SYN-00356","2026-06-09",""
"HIRE-357","REQ-0138","SYN-00357","2026-06-04","2026-07-01"
"HIRE-358","REQ-0138","SYN-00358","2026-06-18",""
"HIRE-359","REQ-0138","SYN-00359","2026-06-24",""
"HIRE-360","REQ-0138","SYN-00360","2026-05-16",""
"HIRE-361","REQ-0139","SYN-00361","2026-03-09",""
"HIRE-362","REQ-0139","SYN-00362","2026-03-04",""
"HIRE-363","REQ-0139","SYN-00363","2026-03-11","2026-04-22"
"HIRE-364","REQ-0140","SYN-00364","2026-06-06",""
"HIRE-365","REQ-0140","SYN-00365","2026-05-30",""
"HIRE-366","REQ-0140","SYN-00366","2026-05-17","2026-08-14"
"HIRE-367","REQ-0140","SYN-00367","2026-05-17","2026-07-23"
"HIRE-368","REQ-0140","SYN-00368","2026-05-26",""
"HIRE-369","REQ-0142","SYN-00369","2026-03-10",""
"HIRE-370","REQ-0142","SYN-00370","2026-03-31",""
"HIRE-371","REQ-0142","SYN-00371","2026-03-03",""
"HIRE-372","REQ-0142","SYN-00372","2026-02-28",""
"HIRE-373","REQ-0142","SYN-00373","2026-02-26",""
"HIRE-374","REQ-0143","SYN-00374","2026-01-20",""
"HIRE-375","REQ-0144","SYN-00375","2026-04-20","2026-06-30"
"HIRE-376","REQ-0144","SYN-00376","2026-05-04","2026-07-24"
"HIRE-377","REQ-0144","SYN-00377","2026-04-30",""
"HIRE-378","REQ-0145","SYN-00378","2026-04-12",""
"HIRE-379","REQ-0146","SYN-00379","2026-06-17",""
"HIRE-380","REQ-0146","SYN-00380","2026-06-16","2026-07-13"
"HIRE-381","REQ-0146","SYN-00381","2026-06-07",""
"HIRE-382","REQ-0146","SYN-00382","2026-06-03",""
"HIRE-383","REQ-0147","SYN-00383","2026-09-06",""
"HIRE-384","REQ-0147","SYN-00384","2026-08-26",""
"HIRE-385","REQ-0147","SYN-00385","2026-09-14",""
"HIRE-386","REQ-0148","SYN-00386","2026-05-26",""
"HIRE-387","REQ-0149","SYN-00387","2026-09-15",""
"HIRE-388","REQ-0149","SYN-00388","2026-09-09",""
"HIRE-389","REQ-0149","SYN-00389","2026-08-28",""
"HIRE-390","REQ-0149","SYN-00390","2026-09-03",""
"HIRE-391","REQ-0150","SYN-00391","2026-09-12",""
"HIRE-392","REQ-0150","SYN-00392","2026-08-31",""
"HIRE-393","REQ-0150","SYN-00393","2026-09-05",""
"HIRE-394","REQ-0152","SYN-00394","2026-04-16",""
"HIRE-395","REQ-0152","SYN-00395","2026-04-16","2026-07-19"
"HIRE-396","REQ-0152","SYN-00396","2026-04-08",""
"HIRE-397","REQ-0152","SYN-00397","2026-04-23",""
"HIRE-398","REQ-0153","SYN-00398","2026-09-07",""
"HIRE-399","REQ-0153","SYN-00399","2026-07-31",""
"HIRE-400","REQ-0154","SYN-00400","2026-02-06",""
"HIRE-401","REQ-0154","SYN-00401","2026-01-27",""
"HIRE-402","REQ-0155","SYN-00402","2026-02-15",""
"HIRE-403","REQ-0155","SYN-00403","2026-02-20",""
"HIRE-404","REQ-0155","SYN-00404","2026-03-02",""
"HIRE-405","REQ-0156","SYN-00405","2026-02-18",""
"HIRE-406","REQ-0156","SYN-00406","2026-03-10","2026-04-06"
"HIRE-407","REQ-0156","SYN-00407","2026-02-08",""
"HIRE-408","REQ-0156","SYN-00408","2026-02-22",""
"HIRE-409","REQ-0156","SYN-00409","2026-02-26",""
"HIRE-410","REQ-0157","SYN-00410","2026-08-25",""
"HIRE-411","REQ-0157","SYN-00411","2026-08-20",""
"HIRE-412","REQ-0157","SYN-00412","2026-08-05",""
"HIRE-413","REQ-0157","SYN-00413","2026-08-10",""
"HIRE-414","REQ-0158","SYN-00414","2026-05-28",""
"HIRE-415","REQ-0158","SYN-00415","2026-05-14",""
"HIRE-416","REQ-0158","SYN-00416","2026-05-14",""
"HIRE-417","REQ-0158","SYN-00417","2026-06-10","2026-09-13"
"HIRE-418","REQ-0159","SYN-00418","2026-05-15",""
"HIRE-419","REQ-0159","SYN-00419","2026-06-14",""
"HIRE-420","REQ-0159","SYN-00420","2026-05-10",""
"HIRE-421","REQ-0160","SYN-00421","2026-08-10",""
"HIRE-422","REQ-0160","SYN-00422","2026-07-09",""
"HIRE-423","REQ-0160","SYN-00423","2026-07-05",""
"HIRE-424","REQ-0161","SYN-00424","2026-05-06",""
"HIRE-425","REQ-0162","SYN-00425","2026-08-08",""
"HIRE-426","REQ-0163","SYN-00426","2026-04-11",""
"HIRE-427","REQ-0163","SYN-00427","2026-04-26",""
"HIRE-428","REQ-0164","SYN-00428","2026-04-12",""
"HIRE-429","REQ-0164","SYN-00429","2026-04-13",""
"HIRE-430","REQ-0164","SYN-00430","2026-03-20",""
"HIRE-431","REQ-0164","SYN-00431","2026-03-28","2026-05-13"
"HIRE-432","REQ-0165","SYN-00432","2026-08-23","2026-09-05"
"HIRE-433","REQ-0165","SYN-00433","2026-08-14",""
"HIRE-434","REQ-0165","SYN-00434","2026-09-03",""
"HIRE-435","REQ-0165","SYN-00435","2026-08-04",""
"HIRE-436","REQ-0166","SYN-00436","2026-05-22",""
"HIRE-437","REQ-0166","SYN-00437","2026-05-20","2026-07-26"
"HIRE-438","REQ-0166","SYN-00438","2026-05-05",""
"HIRE-439","REQ-0166","SYN-00439","2026-05-15",""
